                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.70126,                 1.5632,                  1.868,                0.77574,                0.65596,                0.74871,                0.63753,                0.75128,                 1.4361,                 1.8595,               0.006733,               0.006733,               0.006733
                     68,                0.70528,                 1.5565,                 1.8677,                0.76814,                0.66522,                0.74852,                0.63891,                   0.75,                  1.431,                 1.8593,              0.0066835,              0.0066835,              0.0066835
                     69,                0.70055,                 1.5396,                 1.8562,                0.77069,                 0.6773,                0.75116,                0.64251,                0.74976,                 1.4234,                 1.8596,               0.006634,               0.006634,               0.006634
                     70,                0.69898,                 1.5355,                 1.8591,                0.76768,                0.68349,                0.75361,                0.64379,                0.74896,                 1.4219,                 1.8598,              0.0065845,              0.0065845,              0.0065845
                     71,                0.69754,                 1.5179,                 1.8506,                0.79408,                0.66121,                0.75618,                 0.6468,                 0.7489,                 1.4184,                 1.8579,               0.006535,               0.006535,               0.006535
                     72,                0.69294,                 1.5425,                 1.8523,                0.77818,                0.67385,                0.75671,                0.64757,                0.74708,                 1.4136,                 1.8559,              0.0064855,              0.0064855,              0.0064855
                     73,                 0.6938,                 1.5156,                 1.8504,                0.77713,                0.67848,                0.75853,                0.64988,                0.74622,                 1.4087,                 1.8548,               0.006436,               0.006436,               0.006436
                     74,                0.69948,                 1.5038,                 1.8546,                0.76809,                0.68657,                0.75915,                0.64925,                0.74548,                 1.4034,                 1.8547,              0.0063865,              0.0063865,              0.0063865
                     75,                0.69517,                 1.4939,                 1.8533,                0.76814,                0.69212,                0.76041,                0.65143,                0.74607,                 1.3987,                 1.8558,               0.006337,               0.006337,               0.006337
                     76,                0.69271,                 1.4782,                 1.8441,                0.76634,                0.69684,                0.76166,                0.65259,                0.74536,                 1.3947,                 1.8546,              0.0062875,              0.0062875,              0.0062875
                     77,                0.68521,                 1.4732,                 1.8421,                0.77691,                0.68312,                0.76157,                0.65267,                0.74575,                 1.3921,                 1.8564,               0.006238,               0.006238,               0.006238
                     78,                0.69309,                  1.458,                 1.8454,                0.78363,                0.68492,                0.76249,                0.65293,                0.74541,                 1.3865,                 1.8574,              0.0061885,              0.0061885,              0.0061885
                     79,                0.68892,                 1.4569,                 1.8423,                0.77923,                0.68607,                 0.7634,                0.65423,                0.74582,                 1.3861,                 1.8585,               0.006139,               0.006139,               0.006139
                     80,                0.68182,                 1.4504,                 1.8361,                0.78961,                0.68413,                0.76442,                  0.656,                0.74592,                 1.3849,                 1.8602,              0.0060895,              0.0060895,              0.0060895
                     81,                0.68769,                 1.4606,                 1.8469,                0.79183,                0.68505,                0.76457,                0.65627,                0.74554,                 1.3813,                 1.8601,                0.00604,                0.00604,                0.00604
                     82,                0.67914,                 1.4268,                 1.8253,                0.78163,                 0.6914,                 0.7664,                0.65841,                0.74486,                 1.3787,                 1.8589,              0.0059905,              0.0059905,              0.0059905
                     83,                0.67981,                 1.4399,                 1.8321,                0.77551,                0.69878,                0.76653,                0.65725,                0.74449,                 1.3764,                 1.8588,               0.005941,               0.005941,               0.005941
                     84,                0.68449,                 1.4244,                 1.8298,                0.78019,                0.69637,                0.76632,                0.65788,                0.74393,                 1.3738,                 1.8584,              0.0058915,              0.0058915,              0.0058915
                     85,                0.67765,                 1.4165,                 1.8247,                0.78151,                 0.6957,                0.76623,                0.65764,                0.74384,                 1.3724,                 1.8578,               0.005842,               0.005842,               0.005842
                     86,                0.67352,                 1.4048,                 1.8228,                0.78611,                0.69049,                0.76825,                0.65897,                0.74371,                 1.3695,                 1.8587,              0.0057925,              0.0057925,              0.0057925
                     87,                0.67451,                 1.4169,                 1.8313,                0.78302,                0.69173,                0.76837,                0.65901,                0.74385,                 1.3667,                  1.859,               0.005743,               0.005743,               0.005743
                     88,                0.66751,                 1.3721,                 1.8169,                0.78582,                0.69192,                0.76911,                0.66052,                0.74371,                  1.366,                 1.8583,              0.0056935,              0.0056935,              0.0056935
                     89,                0.66721,                 1.3729,                 1.8204,                0.78702,                 0.6933,                 0.7693,                0.66017,                0.74362,                 1.3651,                  1.858,               0.005644,               0.005644,               0.005644
                     90,                0.67007,                 1.3774,                 1.8176,                0.79134,                0.69222,                0.76921,                0.66055,                0.74335,                 1.3656,                 1.8576,              0.0055945,              0.0055945,              0.0055945
                     91,                0.66773,                 1.3741,                 1.8151,                0.78471,                0.69603,                0.76948,                0.66068,                0.74293,                 1.3652,                 1.8572,               0.005545,               0.005545,               0.005545
                     92,                0.66503,                 1.3738,                 1.8162,                0.77337,                0.70355,                0.76952,                0.66106,                0.74296,                 1.3643,                 1.8568,              0.0054955,              0.0054955,              0.0054955
                     93,                0.66446,                 1.3678,                 1.8169,                0.77038,                0.70725,                0.76972,                0.66124,                0.74248,                 1.3634,                 1.8567,               0.005446,               0.005446,               0.005446
                     94,                  0.663,                 1.3741,                 1.8099,                 0.7835,                0.69599,                0.77019,                0.66194,                0.74275,                 1.3627,                  1.857,              0.0053965,              0.0053965,              0.0053965
